	GO_CATEGORY	VAL	p	Description
79	GO:0048018	9.464342857142855	0.0	The activity of a gene product that interacts with a receptor to effect a change in the activity of the receptor. Ligands may be produced by the same, or different, cell that expresses the receptor. Ligands may diffuse extracellularly from their point of origin to the receiving cell, or remain attached to an adjacent cell surface (e.g. Notch ligands). [GOC:kv, GOC:molecular_function_refactoring, GOC:pdt]
80	GO:0030335	9.450240476190482	0.0	Any process that activates or increases the frequency, rate or extent of cell migration. [GOC:go_curators]
81	GO:0002819	9.445914285714283	0.0	Any process that modulates the frequency, rate, or extent of an adaptive immune response. [GOC:add]
82	GO:0032652	9.428333333333336	0.0	Any process that modulates the frequency, rate, or extent of interleukin-1 production. [GOC:mah]
83	GO:0097191	9.428333333333336	0.0	The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with either a ligand binding to a cell surface receptor, or a ligand being withdrawn from a cell surface receptor (e.g. in the case of signaling by dependence receptors), and ends when the execution phase of apoptosis is triggered. [GOC:mtg_apoptosis, GOC:yaf, PMID:17340152]
84	GO:0032946	9.421733333333338	0.0	Any process that activates or increases the frequency, rate or extent of mononuclear cell proliferation. [GOC:add]
85	GO:0050670	9.373383333333344	0.0	Any process that modulates the frequency, rate or extent of lymphocyte proliferation. [GOC:ai]
86	GO:0032944	9.29051666666668	0.0	Any process that modulates the frequency, rate or extent of mononuclear cell proliferation. [GOC:add]
87	GO:0051896	9.199183333333343	0.0	Any process that modulates the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B. [GOC:ai]
88	GO:2000147	9.165531746031746	0.0	Any process that activates or increases the frequency, rate or extent of cell motility. [GOC:mah]
89	GO:0032680	9.155116666666672	0.0	Any process that modulates the frequency, rate or extent of tumor necrosis factor production. [GOC:mah, PMID:10891884, PMID:15560120]
90	GO:0070848	9.145464285714286	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus. [GOC:BHF, GOC:mah]
91	GO:0000302	9.108166666666664	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals. [GOC:krc]
92	GO:2000116	9.10181666666667	0.0	Any process that modulates the frequency, rate or extent of cysteine-type endopeptidase activity. [GOC:obol, GOC:yaf]
93	GO:0070665	9.062833333333339	0.0	Any process that activates or increases the frequency, rate or extent of leukocyte proliferation. [GOC:add, GOC:mah]
94	GO:0045862	9.048383333333346	0.0	Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein. [GOC:go_curators]
95	GO:0032649	9.042833333333327	0.0	Any process that modulates the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon. [GOC:add, GOC:mah, PMID:15546383]
96	GO:0043123	9.01881666666667	0.0	Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling. [GOC:jl]
97	GO:0010952	8.99733333333333	0.0	Any process that increases the frequency, rate or extent of peptidase activity, the hydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]
98	GO:1903555	8.99463333333334	0.0	Any process that modulates the frequency, rate or extent of tumor necrosis factor superfamily cytokine production. [GO_REF:0000058, GOC:TermGenie, PMID:24187568]
99	GO:0002699	8.978221428571421	0.0	Any process that activates or increases the frequency, rate, or extent of an immune effector process. [GOC:add]
100	GO:0030545	8.953943722943732	0.0	Binds to and modulates the activity of a receptor. [GOC:ceb]
101	GO:0046328	8.924499999999998	0.0	Any process that modulates the frequency, rate or extent of signal transduction mediated by the JNK cascade. [GOC:bf]
102	GO:0044403	8.913421428571436	0.0	A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts. [GOC:cc, PMID:31257129]
103	GO:0032677	8.86455	0.0	Any process that modulates the frequency, rate, or extent of interleukin-8 production. [GOC:mah]
104	GO:2000403	8.853666666666667	0.0	Any process that activates or increases the frequency, rate or extent of lymphocyte migration. [GOC:mah]
105	GO:0040017	8.848331746031736	0.0	Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism. [GOC:go_curators]
106	GO:0046330	8.8348	0.0	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the JNK cascade. [GOC:bf]
107	GO:0002824	8.829049999999997	0.0	Any process that activates or increases the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata. [GOC:add, GOC:mtg_sensu]
108	GO:0042102	8.8103	0.0	Any process that activates or increases the rate or extent of T cell proliferation. [GOC:ai]
109	GO:0006959	8.772174999999992	0.0	An immune response mediated through a body fluid. [GOC:hb, ISBN:0198506732]
110	GO:0002706	8.772166666666656	0.0	Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity. [GOC:add]
111	GO:0070663	8.73965555555557	0.0	Any process that modulates the frequency, rate or extent of leukocyte proliferation. [GOC:add, GOC:mah]
112	GO:0032872	8.726754761904765	0.0	Any process that modulates the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade. [GOC:mah]
113	GO:0070302	8.6785380952381	0.0	Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade. [GOC:mah]
114	GO:0043281	8.668999999999995	0.0	Any process that modulates the activity of a cysteine-type endopeptidase involved in apoptosis. [GOC:jl, GOC:mtg_apoptosis]
115	GO:0002703	8.661999999999995	0.0	Any process that modulates the frequency, rate, or extent of leukocyte mediated immunity. [GOC:add]
116	GO:0002821	8.65955	0.0	Any process that activates or increases the frequency, rate, or extent of an adaptive immune response. [GOC:add]
117	GO:0022407	8.628666305916349	0.0	Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]
118	GO:0034097	8.624010064935042	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus. [GOC:sl]
119	GO:2001234	8.615171428571436	0.0	Any process that stops, prevents or reduces the frequency, rate or extent of apoptotic signaling pathway. [GOC:mtg_apoptosis]
120	GO:0045471	8.59875	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus. [GOC:go_curators]
121	GO:1902622	8.596333333333334	0.0	Any process that modulates the frequency, rate or extent of neutrophil migration. [GO_REF:0000058, GOC:TermGenie, PMID:1826836]
122	GO:0050730	8.491702380952374	0.0	Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine. [GOC:ai]
123	GO:0071363	8.487391666666651	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus. [GOC:mah]
124	GO:0071675	8.454799999999999	0.0	Any process that modulates the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body. [GOC:mah]
125	GO:0097190	8.416399999999996	0.0	The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered. [GOC:mtg_apoptosis]
126	GO:0002274	8.411166666666661	0.0	A change in the morphology or behavior of a myeloid leukocyte resulting from exposure to an activating factor such as a cellular or soluble ligand. [GOC:add, ISBN:0781735149]
127	GO:0002696	8.401568253968213	0.0	Any process that activates or increases the frequency, rate, or extent of leukocyte activation. [GOC:add]
128	GO:0051092	8.398499999999995	0.0	Any process that activates or increases the frequency, rate or extent of activity of the transcription factor NF-kappaB. [GOC:dph, GOC:tb, PMID:15087454, PMID:15170030]
129	GO:0010950	8.39105	0.0	Any process that increases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]
130	GO:0140375	8.3883	0.0	Receiving a signal and transmitting it in a cell to initiate an immune response. [PMID:31415752, Wikipedia:Immune_receptor]
131	GO:0050731	8.385500000000016	0.0	Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine. [GOC:ai]
132	GO:0051345	8.361091489066538	0.0	Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds. [GOC:ai]
133	GO:1901654	8.351999999999986	0.0	A response that results in a state of tolerance to ketone. [GOC:mengo_curators, PMID:23356676]
134	GO:0051222	8.331428571428566	0.0	Any process that activates or increases the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]
135	GO:0010638	8.224003751803727	0.0	Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle. [GOC:dph, GOC:tb]
136	GO:0043408	8.21932323232326	0.0	Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade. [GOC:go_curators]
137	GO:0032874	8.209150000000001	0.0	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade. [GOC:mah]
138	GO:0070304	8.17765	0.0	Any process that activates or increases the frequency, rate or extent of signaling via the stress-activated protein kinase signaling cascade. [GOC:mah]
139	GO:1904951	8.17434285714285	0.0	Any process that activates or increases the frequency, rate or extent of establishment of protein localization. [GO_REF:0000058, GOC:TermGenie, PMID:22761445]
140	GO:0050867	8.154971428571388	0.0	Any process that activates or increases the frequency, rate or extent of activation. [GOC:ai]
141	GO:0010942	8.063978571428521	0.0	Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death. [GOC:dph, GOC:tb]
142	GO:0051251	8.056853968253956	0.0	Any process that activates or increases the frequency, rate or extent of lymphocyte activation. [GOC:ai]
143	GO:0002708	8.028933333333335	0.0	Any process that activates or increases the frequency, rate, or extent of lymphocyte mediated immunity. [GOC:add]
144	GO:1901623	8.025	0.0	Any process that modulates the frequency, rate or extent of lymphocyte chemotaxis. [GOC:TermGenie]
145	GO:0043122	7.986266666666678	0.0	Any process that modulates I-kappaB kinase/NF-kappaB signaling. [GOC:jl, PMID:12773372]
146	GO:0033993	7.921149383949412	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus. [GOC:sl]
147	GO:1902624	7.904333333333334	0.0	Any process that activates or increases the frequency, rate or extent of neutrophil migration. [GO_REF:0000058, GOC:TermGenie, PMID:1826836]
148	GO:0002697	7.895342857142823	0.0	Any process that modulates the frequency, rate, or extent of an immune effector process. [GOC:add]
149	GO:0051054	7.867595238095221	0.0	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA. [GOC:ai]
150	GO:0010951	7.838835714285715	0.0	Any process that decreases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]
151	GO:2001056	7.828600000000002	0.0	Any process that activates or increases the frequency, rate or extent of cysteine-type endopeptidase activity. [GOC:obol]
152	GO:0009416	7.808413095238107	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light. [GOC:go_curators, ISBN:0582227089]
153	GO:0051209	7.782416666666667	0.0	The process in which calcium ions sequestered in the endoplasmic reticulum, Golgi apparatus or mitochondria are released into the cytosolic compartment. [GOC:dph, GOC:hjd, GOC:mtg_lung, PMID:1814929]
154	GO:0001666	7.781042857142878	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level. [GOC:hjd]
155	GO:0045834	7.778200000000001	0.0	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving lipids. [GOC:go_curators]
156	GO:0051283	7.777916666666667	0.0	Any process that stops, prevents, or reduces the frequency, rate or extent of the binding or confining calcium ions such that they are separated from other components of a biological system. [GOC:ai]
157	GO:1903829	7.763266666666692	0.0	Any process that activates or increases the frequency, rate or extent of a protein localization. [GO_REF:0000058, GOC:TermGenie, GOC:vw]
158	GO:0030100	7.7566000000000015	0.0	Any process that modulates the frequency, rate or extent of endocytosis. [GOC:go_curators]
159	GO:0009612	7.754499999999987	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus. [GOC:hb]
160	GO:0010466	7.730835714285715	0.0	Any process that stops or reduces the rate of peptidase activity, the hydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]
161	GO:0002920	7.707999999999997	0.0	Any process that modulates the frequency, rate, or extent of a humoral immune response. [GOC:add]
162	GO:0036293	7.667342857142874	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen. [GOC:al]
163	GO:0031347	7.637701226551195	0.0	Any process that modulates the frequency, rate or extent of a defense response. [GOC:mah]
164	GO:0042110	7.628703968253951	0.0	The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific. [GOC:mgi_curators, ISBN:0781735149]
165	GO:0097553	7.567333333333332	0.0	A process in which a calcium ion is transported from one side of a membrane to the other into the cytosol by means of some agent such as a transporter or pore. [GOC:vw]
166	GO:0050673	7.550200000000001	0.0	The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances. [ISBN:0721662544]
167	GO:0002705	7.532133333333339	0.0	Any process that activates or increases the frequency, rate, or extent of leukocyte mediated immunity. [GOC:add]
168	GO:0002889	7.5313333333333325	0.0	Any process that modulates the frequency, rate, or extent of an immunoglobulin mediated immune response. [GOC:add]
169	GO:0002712	7.5313333333333325	0.0	Any process that modulates the frequency, rate, or extent of B cell mediated immunity. [GOC:add]
170	GO:1901214	7.521216666666644	0.0	Any process that modulates the frequency, rate or extent of neuron death. [GOC:rph, GOC:TermGenie]
171	GO:0045861	7.440035714285696	0.0	Any process that stops, prevents, or reduces the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein. [GOC:go_curators]
