ENSID,Symbol,Pubmed_IDs,Mammal,Parasite,Physical Interaction,Association,Knockout,Overexpression,Expression Change
ENSG00000109471,IL2,10652120*9626331*26953797*26297954*9819767*7907805*25733522*3057590*7842488*28122790*27581163*2572511*26466783*9144200*7481077*12051611*9512760*9066069*8947595*8536365*8454354*1624803*1570169*1937812*1899385* 7615677,dog*mouse*cow*horse*human,B.microti*B.bovis*B.caballi*B.gibsoni*B.rossi*B.rodhaini*P.vivax*P.berghei*P.yoelii*P.chabaudi*P.falciparum*T.parva*T.annulata*sergenti,FALSE,TRUE,TRUE,TRUE,TRUE
ENSG00000047457,CP,15902667*22086083*16116242*8279640*21652718*27090372*19238441*22785130,dog*human*cow*buffalo,B.canis*P.vivax*P.falciparum*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000115008,IL1A,22673309*27168977*19783673*22785130*11193699*8947595*8536365*23467990,human*buffalo*cow*goat*sheep*dog,hemozoin*P.falciparum*T.annulata*T.parva*Rangelia vitalii,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000196839,ADA,3058230*24965595*20805743*18575973*22475775,human*cow*dog,P.falciparum*T.annulata*Rangelia vitalii,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000136634,IL10,23071588*10958449*10652120*8564714*9626331*26953797*20070828*9668462*26459508*2572511*27168977*25889717*25128199*19308263*22615793*23573367*7842488*24520384*23614351*28122790*27441662*27632786*26602091*26715893*18590735*9278944*20418019*22854202*19194076*11193699*8947595*8536365,dog*mouse*sheep*human*cow*buffalo,B.microti*B.rodhaini*B.bovis*B.BQ1(Lintan)*B.rossi*P.vivax*P.falciparum*P.yoelii*P.berghei*T.parva*T.orientalis*T.annulata,FALSE,TRUE,FALSE,TRUE,TRUE
ENSG00000125730,C3,6213724*7325886*24885808 *6965951*1270796*18533933*956661*3216813*6767771*25656928*6369119*24985035*7012239*27815652*27333049*6408786,mouse*human*rat*cow*dog,B.microti*B.bovis*B.rodhaini*B.canis*P.vivax*P.knowlesi*P.berghei*P.yoelii*T.parva,TRUE,FALSE,TRUE,FALSE,TRUE
ENSG00000110799,VWF,23875771*21149594*25569250*24099998*23687570*22125593*21209923*26511133*26304688*26082008,dog*mouse*human*cat,B.unknown*P.berghei*P.vivax*P.falciparum*Cytauxzoon felis,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000169429,IL8,26953797*24188121*19308260*19713460*19783673*17997848*21632106*18312657*28122790*25883801*27168977*11193699,dog*human*cow*goat*sheep,B.rossi*P.falciparum*hemozoin*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000100030,MAPK1,23286221*19910051*19783673*17056565*20540970,mouse*cow*human,B.bovis*hemozoin*P.falciparum*T.parva,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000073756,PTGS2,19910051*10348246*16619186*22730036*27887739*25690101,mouse*human*cow,B.bovis*P.berghei*P.falciparum*hemozoin*T.annulata,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000160255,ITGB2,11785668*9347950*1674690*21460246*9103233*25467887*23718659,human*mouse*cow*cat,hemozoin*P.falciparum*P.berghei*T.annulata*Cytauxzoon felis,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000198053,SIRPA,27091932*25697418,mouse*cow,P.berghei*T.annulata,FALSE,TRUE,TRUE,FALSE,FALSE
ENSG00000004939,SLC4A1,16118313*16960783*19174148*9490702*22426110*15383289,human*cow,P.vivax*P.falciparum*T.orientalis,TRUE,TRUE,TRUE,FALSE,FALSE
ENSG00000117601,SERPINC1,24885808*23194149*19584042*16112810*21511958*2482560*7947233*8980257,dog*human,B.canis*B.rossi*P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000164305,CASP3,21914552*19015023*26420463*12696008*11865192*28011042,human*mouse*cat,P.yoelii*P.falciparum*P.berghei*Cytauxzoon felis,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000106804,C5,6767771*841340*956661*24985035*25385326,human*rat*mouse,B.rodhaini*P.berghei*P.falciparum,TRUE,FALSE,TRUE,FALSE,TRUE
ENSG00000102882,MAPK3,23286221*19910051*21632106*15611273*15265937*14530348*17056565,mouse*cow*human,B.bovis*P.falciparum*hemozoin,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000162924,REL,15611045*8596042*9108098*11018447,human*cow,P.falciparum*T.parva,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000126218,F10,5337147*9113077*4623621*26082008,human*aotus*cat,P.vivax*P.falciparum*Cytauxzoon felis,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000170345,FOS,9180190*7770085,mouse*cow,P.berghei*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000180210,F2,602370*7436877*9113077*27624125*26743539,cow*human,B.bovis*P.falciparum*P.vivax,TRUE,TRUE,FALSE,FALSE,TRUE
ENSG00000057593,F7,5337147*9113077*4623621*26082008,human*aotus*cat,P.vivax*P.falciparum*Cytauxzoon felis,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000072274,TFRC,20686121*26303393*25414440*25662767*24289105*23615827*15839893,mouse*human*cow,P.chabaudi*P.vivax*P.yoelii*P.berghei*P.falciparum*hemozoin*T.parva*T.annulata,TRUE,FALSE,TRUE,FALSE,TRUE
ENSG00000107643,MAPK8,18312657*23159058*17056565*21073918*23455938*9144200*17135553*11207566*9747972*16778183,mouse*human*cow,P.falciparum*P.berghei*T.parva*T.annulata,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000143546,S100A8,26438270*27917875*24188121*19605894,human*mouse*cat,P.vivax*P.falciparum*P.berghei*Cytauxzoon felis,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000091513,TF,8158466*24885808*27717771*25656928*1283805,dog*human,B.canis*P.vivax*P.knowlesi,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000005844,ITGAL,17311092*23133375*9103233,human*cow,P.falciparum*T.annulata,TRUE,FALSE,TRUE,FALSE,TRUE
ENSG00000117560,FASLG,23009201*12696008*26491700*7927698*12874209,human*cow,P.falciparum*T.parva,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000148218,ALAD,7928069*10932227*22387140,mouse*dog,P.berghei*Rangelia vitalii,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000100985,MMP9,21707906*23468369*16865090*19191707*7770085*10743610*8893530,human*mouse*cow,hemozoin*P.berghei*T.annulata,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000168610,STAT3,24520384*17200144*18954557*27632786*22479586*15580287,mouse*cow,P.yoelii*P.berghei*T.parva,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000162692,VCAM1,25539588*23866258*24324686*23349902*23687570*22305466,human,B.venatorum*P.falciparum*P.vivax*P.knowlesi,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000133661,SFTPD,7325886*28127335,cow*mouse,B.bovis*P.berghei*P.chabaudi,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000101981,F9,4623621*26082008,aotus*cat,P.falciparum*Cytauxzoon felis,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000026508,CD44,17913542*27554340*25954012*23589611*9103233,mouse*human*cow,P.berghei*P.falciparum*P.chabaudi*T.annulata,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000177606,JUN,21073918*17056565*9610375*25375322,mouse*human*cow,P.falciparum*P.berghei*T.parva*T.annulata,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000115414,FN1,7325886*3517789*3158994,cow*macaque*human,B.bovis*P.knowlesi*P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000159023,EPB41,26416757*21149594*15477199*23047133,human*mouse*horse,P.falciparum*P.berghei*T.equi,TRUE,TRUE,FALSE,FALSE,TRUE
ENSG00000092969,TGFB2,10837206*20585394*25690101*21124992,human*cow,P.falciparum*T.annulata,FALSE,TRUE,FALSE,TRUE,TRUE
ENSG00000174175,SELP,25539588*26088270*7531810*26045295*23755151*14982832*12654808,human*dog*mouse,B.venatorum*B.rossi*P.falciparum*P.berghei,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000100644,HIF1A,20716170*28127335*24291761*18279052*21854739*24995009*25620534*24112286*23803730*23665677,mouse*human*cow,P.chabaudi*P.falciparum*P.berghei*T.annulata,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000115138,POMC,17614201*14882469*2987773,dog*human*mouse,B.canis*P.vivax*P.berghei,FALSE,FALSE,FALSE,TRUE,TRUE
ENSG00000174130,TLR6,27198789*21439957*23949311*15623512*26809341,mouse,B.bovis*P.chabaudi*P.falciparum,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000105329,TGFB1,11589775*19827745*24188121*18174328*10837206*27632786*26948901*26715893*25886788,cow*mouse*human,B.bovis*P.falciparum*P.berghei*P.vivax,FALSE,TRUE,TRUE,TRUE,TRUE
ENSG00000160862,AZGP1,24885808*21652718,dog*human,B.bovis*P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000180644,PRF1,18514329*16301654*16500656,cow*human*mouse,B.bovis*P.falciparum*P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000122194,PLG,654424*24503144*27090372,cow*human,B.bovis*P.falciparum*P.vivax,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000166710,B2M,1283805*1901066*7615677,human*mouse*cow,P.falciparum*P.berghei*T.parva,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000137462,TLR2,19910051*21439957*25091627*22336003*17135446*22463100*15623512*26667391*26809341,mouse*human,B.bovis*P.chabaudi*P.falciparum*P.yoelii,TRUE,TRUE,TRUE,FALSE,TRUE
ENSG00000164136,IL15,26297954*12940961*24188121*27168977,cow*dog*human,B.gibsoni*B.bovis*P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000050748,MAPK9,15611045*17056565*9144200*16778183,mouse*cow,P.falciparum*P.berghei*T.parva,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000112062,MAPK14,23286221*23468369*22724024*24188121*24474800,cow*human*mouse,B.bovis*hemozoin*P.yoelii,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000092820,EZR,25889165*24086576,human*cow,P.vivax*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000142657,PGD,3795141*2936261,cow*human,B.bigemina*B.bovis*P.falciparum,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000182866,LCK,25452553*18426606*9778632,human*mouse*cow,P.falciparum*P.berghei*T.parva,TRUE,FALSE,TRUE,FALSE,TRUE
ENSG00000010810,FYN,23967147*9778632,mouse*cow,P.berghei*T.parva,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000104365,IKBKB,12668256*12411708,mouse*cow,P.berghei*T.parva*T.annulata,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000140263,SORD,9780825*623617,sheep*cow,B.ovis*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000134333,LDHA,27051577*3970435*9780825*7194548*24656155*12675895*25136591*3795142*3795141*23558234*27810201*27046990*27242073*18551778,gerbil*human*sheep*cow*coyote*horse,B.microti*B.divergens*B.ovis*B.gibsoni*B.bovis*B.bigemina*T.equi*T.annulata*T.lestoquardi,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000116044,NFE2L2,24981859*21949655*26385579,human*mouse,P.falciparum*P.berghei,FALSE,TRUE,TRUE,TRUE,FALSE
ENSG00000132170,PPARG,27887739*24603727,mouse,P.berghei,FALSE,TRUE,FALSE,TRUE,FALSE
ENSG00000196814,MVB12B,26741287,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000111670,GNPTAB,26741287,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000158856,DMTN,21084299,mouse,P.berghei,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000079841,RIMS1,26741287,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000162894,FAIM3,21323829,rat,P.berghei,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000152689,RASGRP3,26741287,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000101000,PROCR,23739325*27406562*28101534*27671831*27255786*25113859*25049281,human,P.reichenowi*P.falciparum,TRUE,TRUE,FALSE,FALSE,TRUE
ENSG00000135218,CD36,25388906*17339496*26385579*24188121*22106368*28101534*23967147*24098393*10477742*25113859,human*mouse,P.reichenowi*P.chabaudi*P.falciparum*P.berghei,TRUE,TRUE,TRUE,FALSE,TRUE
ENSG00000100292,HMOX1,19706490*26385579*23872112*20307316*27974865*28142190*20585394,mouse*human,P.berghei*P.falciparum*P.chabaudi,FALSE,TRUE,TRUE,TRUE,TRUE
ENSG00000163586,FABP1,17303141,mouse,P.yoelii,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000169245,CXCL10,26718341*17997848*27441662*24188121*24681005*17135448*27168977*21508508*18174328*25883801*21364762*18178862*26602091*26555697*28118834,human*mouse,P.vivax*P.falciparum*P.berghei,FALSE,TRUE,TRUE,TRUE,TRUE
ENSG00000078401,EDN1,23866258*27640146*20204072,human*mouse,P.falciparum*P.berghei,TRUE,FALSE,FALSE,TRUE,TRUE
ENSG00000158786,PLA2G2F,25824843,human,P.falciparum,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000162409,PRKAA2,27568570,mouse,P.yoelii*P.falciparum*P.berghei,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000089250,NOS1,23818850*20818978*19540363,human*mouse,P.falciparum*P.berghei,FALSE,TRUE,FALSE,TRUE,FALSE
ENSG00000174125,TLR1,26738805*15623512*23949311*26809341*21439957,mouse*human,P.falciparum*P.chabaudi,TRUE,TRUE,FALSE,TRUE,TRUE
ENSG00000073060,SCARB1,18779053,human*mouse,P.falciparum*P.berghei,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000100078,PLA2G3,25824843,human,P.falciparum,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000012223,LTF,10822935*10381529*21558492*26654428*3542546,human*mouse,P.falciparum*P.berghei,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000129226,CD68,26216124*25507224*22510838,human*mouse*rat,P.berghei*P.falciparum*P.yoelii,TRUE,FALSE,TRUE,TRUE,TRUE
ENSG00000197272,IL27,22205023*27871325*21985368*26968425*24522137,mouse*human,P.chabaudi*P.falciparum*P.berghei,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000130427,EPO,16518761*27441662*23573367*22741599*24995009*24126529*21044627*18179698*19058593,human*mouse,P.yoelii*P.falciparum*P.berghei,FALSE,FALSE,FALSE,TRUE,TRUE
ENSG00000127472,PLA2G5,25824843,human,P.falciparum,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000169252,ADRB2,24012958*14500986,human,P.falciparum,TRUE,TRUE,FALSE,TRUE,FALSE
ENSG00000134480,CCNH,10722743,human,P.falciparum,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000131187,F12,7947233,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000123892,RAB38,22911692,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000125834,STK35,18989463,human,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000014257,ACPP,23024477,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000168036,CTNNB1,27643439,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000126353,CCR7,25636730,human,P.vivax,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000157227,MMP14,16865092,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000147224,PRPS1,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000077279,DCX,25451296,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000126581,BECN1,26399761,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000169403,PTAFR,22079430*23260771,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000143190,POU2F1,10369255,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000115020,PIKFYVE,24992508,human,P.falciparum,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000128272,ATF4,22584375,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000088827,SIGLEC1,22510838,mouse,P.chabaudi,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000184979,USP18,25583524,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000111679,PTPN6,27091932,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000105971,CAV2,16521037,human,P.vivax,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000188505,NCCRP1,21149594,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000008056,SYN1,26823711,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000001626,CFTR,23614351,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135070,ISCA1,21149618,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000065559,MAP2K4,21073918,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000101439,CST3,12831520,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000125347,IRF1,10972849*10225884*24474800*23853600,mouse*human,P.vivax*P.yoelii*P.falciparum*P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000166224,SGPL1,21556483,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000166226,CCT2,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000006071,ABCC8,24440297,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000107485,GATA3,18975003*18174328,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000122861,PLAU,10858190,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000180871,CXCR2,14978116*22745844,human*mouse,P.vivax*hemozoin,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000164754,RAD21,22949651,human*mouse,P.falciparum*P.chabaudi,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000146072,TNFRSF21,12696008*15033796,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000100311,PDGFB,17997848,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000131981,LGALS3,22486577*19710907,mouse,P.yoelii*P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000158473,CD1D,17307938*11591113,mouse,P.yoelii,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000150753,CCT5,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000140287,HDC,18227221,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000183207,RUVBL2,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000157404,KIT,20686121*20431620,human*mouse,hemozoin*P.chabaudi,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000254087,LYN,19696895*18426606,human*mouse,hemozoin*P.falciparum,TRUE,FALSE,TRUE,FALSE,FALSE
ENSG00000151694,ADAM17,27784899,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000109738,GLRB,26499384,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000133216,EPHB2,25784101,mouse,P.chabaudi*P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000115602,IL1RL1,25682948,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000141458,NPC1,28122820,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000023909,GCLM,21149597,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000157782,CABP1,26499384,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000187266,EPOR,15582527*20686121*21479575,human*mouse,hemozoin*P.chabaudi*P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000110801,PSMD9,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000175104,TRAF6,22463100,mouse,P.yoelii,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000114859,CLCN2,15272009,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000014216,CAPN1,21914552*19342550*16236382*21903871,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000035403,VCL,11442219*10476050*16388977,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000073861,TBX21,19338000*18174328,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000183735,TBK1,21820332,mouse,P.berghei,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000114573,ATP6V1A,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000106605,BLVRA,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000175197,DDIT3,22584375,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000111732,AICDA,27980783*26276629*25099163,human*mouse,P.chabaudi,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000100453,GZMB,12780694*22438997*17135448*24188121*21998471*21525386,human*mouse,P.falciparum*P.berghei,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000100519,PSMC6,21744020,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000198431,TXNRD1,24*020*374,human,P.vivax,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000138448,ITGAV,9684632,human,P.falciparum,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000103490,PYCARD,19696895*24453977 *19783673,mouse,hemozoin*P.chabaudi,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000197822,OCLN,11442219*10476050*16388977,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000179674,ARL14,26416761,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135404,CD63,22780869,mouse,P.berghei,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000168003,SLC3A2,22949651,human*mouse,P.falciparum*P.chabaudi,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000113600,C9,21572031*7505121,human*mouse,P.falciparum,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000158125,XDH,17207084*1316884*2699864,mouse*human*macaque,P.knowlesi*P.falciparum*P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000182533,CAV3,16521037,human,P.vivax,TRUE,FALSE,FALSE,FALSE,TRUE
ENSG00000172461,FUT9,19460885,human,P.falciparum,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000131203,IDO1,17316473*16678181,mouse*human,P.falciparum*P.yoelii,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000108846,ABCC3,24281836,mouse,P.berghei,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000106991,ENG,21966395*19919302,human,P.falciparum,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000177455,CD19,21264245*19019204*19845111*23724100,human*mouse,P.falciparum*P.berghei,FALSE,TRUE,FALSE,FALSE,TRUE
