abstract,rahul_bacteria,anshu_bacteria,rahul_malaria,anshu_malaria
10559167.txt,0,0,0,0
10562063.txt,0,0,1,0
10562064.txt,0,0,0,0
10562545.txt,1,0,0,0
10564521.txt,1,0,0,0
10564791.txt,0,0,0,0
10565540.txt,0,0,0,0
10567948.txt,0,0,1,0
10567989.txt,0,0,0,0
10569753.txt,0,0,1,0
10570221.txt,0,0,0,0
10571081.txt,1,0,0,0
10576705.txt,0,0,0,0
10577511.txt,0,0,1,0
10580382.txt,0,0,1,0
10580383.txt,0,0,1,0
10585541.txt,0,0,0,0
10586076.txt,0,0,0,0
10588744.txt,0,0,0,0
10588896.txt,1,0,0,0
10595547.txt,0,0,0,0
10605004.txt,0,0,1,0
10605143.txt,0,0,0,0
10605608.txt,0,0,1,0
10606765.txt,0,0,1,1
10606970.txt,0,0,1,0
10607303.txt,0,0,1,0
10607306.txt,0,0,0,0
10610760.txt,0,0,0,0
10610794.txt,0,0,0,0
10613822.txt,1,0,1,0
10614001.txt,0,0,0,0
10614008.txt,0,0,0,0
10614683.txt,0,0,1,0
10615813.txt,0,0,0,0
10623811.txt,1,0,1,0
10623839.txt,0,0,1,0
10630305.txt,0,0,0,0
10631954.txt,0,0,0,0
10632336.txt,0,0,1,0
10632663.txt,0,0,1,0
10632722.txt,0,0,0,0
10635282.txt,0,0,0,0
10635286.txt,0,0,0,0
10637092.txt,0,0,1,0
10639447.txt,0,0,0,0
10643658.txt,0,0,0,0
10649840.txt,0,0,0,0
10655404.txt,0,0,0,0
10660291.txt,0,0,1,0
10666598.txt,0,0,0,0
10666607.txt,0,0,0,0
10672830.txt,0,0,1,0
10675598.txt,0,0,0,0
10679093.txt,1,0,0,1
10682623.txt,0,0,0,0
10684604.txt,0,0,0,0
10687343.txt,0,0,0,0
10688208.txt,0,0,0,0
10688899.txt,0,0,0,0
10692120.txt,0,0,1,0
10692589.txt,0,0,1,0
10698346.txt,1,0,0,0
10698798.txt,0,0,0,0
10701119.txt,0,0,0,0
10702217.txt,0,0,0,0
10702544.txt,0,0,0,0
10707026.txt,0,0,0,0
10708766.txt,0,0,0,0
10709981.txt,0,0,0,0
10713523.txt,0,0,0,0
10717314.txt,0,0,0,0
10725811.txt,0,0,1,0
10727888.txt,0,0,0,0
10733880.txt,0,0,0,0
10735999.txt,0,0,0,0
10736090.txt,0,0,1,0
10739937.txt,0,0,0,0
10747794.txt,0,0,0,0
10751424.txt,1,0,0,0
10753441.txt,0,0,0,0
10753932.txt,1,0,0,0
10755311.txt,0,0,0,0
10755625.txt,0,0,1,0
10757713.txt,0,0,0,0
10758870.txt,0,0,0,0
10759847.txt,0,0,0,0
10760288.txt,0,0,1,0
10760814.txt,1,0,0,0
10762249.txt,0,0,0,0
10766338.txt,0,0,0,0
10768949.txt,0,0,0,0
10768965.txt,0,0,0,0
10771443.txt,0,0,0,0
10771933.txt,0,0,0,0
10774747.txt,0,0,0,0
10779774.txt,1,0,1,0
10788346.txt,0,0,0,0
10791791.txt,0,0,0,0
10792717.txt,0,0,0,0
10793748.txt,0,0,0,0
10797271.txt,0,0,1,0
10799895.txt,1,0,1,0
10800246.txt,0,0,0,0
10801796.txt,1,0,0,0
10805975.txt,0,0,1,0
10806963.txt,0,0,0,0
10807402.txt,0,0,1,0
1081374.txt,0,0,0,0
10813909.txt,0,0,0,0
10814214.txt,0,0,0,0
10816466.txt,0,0,0,0
10816483.txt,0,0,0,0
10817229.txt,0,0,1,0
10817902.txt,0,0,0,0
10820258.txt,0,0,0,0
108204.txt,0,0,1,0
10821465.txt,0,0,0,0
10822536.txt,0,0,0,0
10825531.txt,0,0,0,0
10825960.txt,0,0,0,0
10827518.txt,0,0,1,0
10828880.txt,0,0,1,1
108344.txt,0,0,1,0
10838713.txt,0,0,0,0
10840045.txt,1,0,0,0
10841084.txt,0,0,0,0
10844677.txt,1,0,0,0
10848672.txt,0,0,0,0
10850987.txt,1,0,0,0
10851916.txt,0,0,0,0
10852957.txt,1,0,0,0
10854626.txt,0,0,0,0
10855024.txt,0,0,0,0
10858247.txt,0,0,1,0
10858337.txt,0,0,0,0
10860386.txt,0,0,0,0
10861072.txt,0,0,1,0
10871416.txt,0,0,0,0
10873429.txt,0,0,1,0
10876091.txt,0,0,0,0
10878362.txt,1,0,1,0
10880524.txt,0,0,1,0
10883301.txt,0,0,0,0
10886401.txt,0,0,1,0
10886790.txt,0,0,1,0
10887134.txt,1,0,1,0
10888601.txt,0,0,0,0
10889916.txt,0,0,0,1
10891657.txt,0,0,0,0
10892745.txt,1,0,0,0
10895730.txt,0,0,0,0
1089646.txt,0,0,1,1
10898139.txt,0,0,0,0
10898517.txt,1,0,1,0
10899856.txt,1,0,1,0
10901161.txt,1,0,1,0
10902579.txt,0,0,0,0
10906432.txt,0,0,1,0
109130.txt,0,0,0,0
10913105.txt,0,0,0,0
10913149.txt,0,0,0,1
10913626.txt,0,0,1,0
10918979.txt,0,0,0,0
10918981.txt,0,0,1,0
10919328.txt,0,0,0,0
10920044.txt,0,0,0,0
10922042.txt,0,0,0,0
10924153.txt,0,0,0,0
1092546.txt,0,0,0,0
10926516.txt,0,0,0,0
10930847.txt,0,0,0,0
10931129.txt,0,0,1,0
10931143.txt,0,0,1,0
10936621.txt,0,0,0,0
10937824.txt,0,0,0,0
10939271.txt,0,0,0,0
1094197.txt,0,0,0,0
10943412.txt,0,0,1,1
10944348.txt,0,0,1,0
10944491.txt,0,0,1,0
10944802.txt,0,0,1,0
10945782.txt,0,0,1,0
10950785.txt,0,0,1,1
1095265.txt,0,0,1,0
10954736.txt,1,0,1,0
10960090.txt,0,0,0,0
10961952.txt,0,0,0,0
10966073.txt,0,0,0,0
10966427.txt,0,0,0,0
10970094.txt,0,0,1,0
10970874.txt,1,0,0,0
1097424.txt,0,0,0,0
10975572.txt,0,0,0,0
10984403.txt,1,0,0,0
10985781.txt,1,0,0,0
10985858.txt,1,0,0,0
10987918.txt,0,0,0,0
10989309.txt,0,0,1,0
10995071.txt,0,0,0,0
11003218.txt,0,0,0,0
11006105.txt,0,0,1,0
11007364.txt,0,0,0,0
11008645.txt,1,0,1,0
11012771.txt,0,0,1,0
1101380.txt,0,0,0,0
11014439.txt,0,0,0,0
11014911.txt,0,0,0,0
11019637.txt,0,0,0,0
11020369.txt,0,0,0,0
11020382.txt,1,0,1,0
11021254.txt,0,0,0,0
11023737.txt,0,0,0,0
11027414.txt,0,0,0,0
11027433.txt,0,0,1,0
11034580.txt,0,0,0,0
11042269.txt,0,0,0,0
11044372.txt,1,0,0,0
1104484.txt,0,0,1,0
11045628.txt,0,0,0,0
11046002.txt,0,0,1,0
11046052.txt,0,0,1,0
11046063.txt,1,0,1,0
11049748.txt,0,0,0,0
11049810.txt,0,0,0,0
11052947.txt,1,0,0,0
11053846.txt,0,0,0,0
11053875.txt,0,0,0,0
11054168.txt,0,0,0,0
11060093.txt,0,0,0,0
11060257.txt,0,0,0,0
11071985.txt,0,0,1,0
11073931.txt,0,0,0,0
11075935.txt,0,0,0,0
11081636.txt,1,0,1,0
11083777.txt,0,0,1,0
11083877.txt,0,0,0,0
11086039.txt,0,0,1,0
11087674.txt,0,0,0,0
11090078.txt,0,0,1,0
11090938.txt,0,0,1,0
11092865.txt,0,0,0,0
11092951.txt,0,0,0,0
11093166.txt,0,0,1,0
11095755.txt,0,0,0,0
11098631.txt,0,0,0,0
11101871.txt,0,0,1,0
11104070.txt,0,0,0,0
11106249.txt,0,0,1,0
11111915.txt,1,0,1,0
11117642.txt,0,0,0,0
11119513.txt,0,0,1,0
11119722.txt,0,0,0,0
11120644.txt,0,0,0,0
11120807.txt,0,0,0,0
11120867.txt,0,0,0,0
11123268.txt,1,0,1,0
11123289.txt,0,0,1,0
11123297.txt,0,0,1,0
1112338.txt,0,0,0,0
11124544.txt,0,0,0,0
11124969.txt,0,0,1,0
11129568.txt,0,0,0,0
11132158.txt,1,0,0,0
11134939.txt,0,0,0,0
11135574.txt,1,0,1,0
11136819.txt,0,0,1,0
11137602.txt,0,0,0,0
11138384.txt,0,0,1,0
11139209.txt,0,1,0,0
11145043.txt,0,0,0,0
11145647.txt,1,0,1,0
11155166.txt,0,0,0,0
11157049.txt,1,0,1,0
11157240.txt,0,0,0,0
11158586.txt,1,0,0,0
11159979.txt,0,0,0,0
11160210.txt,0,0,1,0
11160258.txt,0,0,1,0
11165389.txt,0,0,1,0
11167573.txt,0,0,0,0
11168737.txt,0,0,1,0
11172027.txt,0,0,0,0
11173475.txt,0,0,0,0
11178314.txt,0,0,0,1
11179320.txt,0,0,1,0
11180061.txt,0,0,0,0
11182116.txt,0,0,0,0
11183760.txt,0,0,0,0
11185502.txt,0,0,0,0
11185563.txt,0,0,0,0
11186308.txt,0,0,0,0
11186491.txt,0,0,0,0
11200055.txt,0,0,1,0
11204803.txt,0,0,1,0
11207758.txt,0,0,0,0
11208790.txt,0,0,0,0
11219917.txt,0,0,0,0
11222600.txt,0,0,0,0
11225032.txt,0,0,0,0
11227345.txt,0,0,1,0
11231141.txt,0,0,0,0
11232777.txt,0,0,0,0
11234321.txt,0,0,0,0
11238623.txt,0,0,1,1
11238979.txt,0,0,0,0
11239771.txt,1,0,0,0
11240122.txt,0,0,0,0
11243468.txt,0,0,1,0
11243699.txt,0,0,1,0
11244783.txt,0,0,1,0
11245986.txt,1,0,0,0
11246701.txt,0,0,1,0
11248053.txt,0,0,1,1
11253810.txt,0,0,0,0
11254553.txt,0,0,1,0
11254591.txt,0,0,0,0
11254624.txt,0,0,1,0
11254679.txt,0,0,1,0
11254722.txt,0,0,1,0
11254733.txt,1,0,1,0
11261995.txt,0,0,0,0
11271603.txt,0,0,0,0
11271813.txt,0,0,1,1
11274460.txt,0,0,0,0
11277051.txt,0,0,0,0
11277619.txt,0,0,1,1
11279032.txt,0,0,0,0
11279035.txt,1,0,0,0
11279501.txt,1,0,0,0
11281713.txt,0,0,0,0
11282636.txt,0,0,0,0
11287001.txt,0,0,0,0
11287608.txt,1,0,1,1
11290557.txt,0,0,1,0
11291577.txt,0,0,0,0
11292739.txt,1,0,1,0
11296664.txt,0,0,1,0
11297268.txt,0,0,1,0
11297395.txt,0,0,0,0
11298491.txt,0,0,1,0
11306146.txt,1,0,1,0
11310835.txt,0,0,0,0
11311395.txt,0,0,0,0
11313482.txt,1,0,0,0
11315191.txt,0,0,1,0
11317941.txt,1,0,1,0
11318601.txt,0,0,0,0
11320319.txt,0,0,0,0
11320330.txt,0,0,0,0
11321362.txt,0,0,1,0
11322892.txt,0,0,0,0
11327814.txt,0,0,0,0
1132888.txt,0,0,1,0
11330723.txt,0,0,0,0
11331020.txt,0,0,1,0
11334496.txt,0,0,1,0
11339813.txt,0,0,0,0
11344546.txt,0,0,1,0
11345586.txt,0,0,0,0
11348675.txt,0,0,0,0
11350831.txt,0,0,1,0
11352561.txt,1,0,0,1
11353409.txt,0,0,0,0
11353993.txt,0,0,1,0
11358990.txt,0,0,1,0
11359834.txt,1,0,1,0
11360993.txt,0,0,0,0
11361136.txt,0,0,0,0
11367527.txt,0,0,1,0
11369867.txt,0,0,0,0
11371182.txt,0,0,0,0
11371194.txt,0,0,0,0
11372650.txt,0,0,0,0
11374672.txt,0,0,0,0
11375507.txt,0,0,0,0
11375515.txt,0,0,0,0
11378375.txt,0,0,0,0
11380148.txt,0,0,1,1
11380202.txt,0,0,0,0
11380250.txt,0,0,0,0
11385263.txt,0,0,0,0
11385992.txt,0,0,1,0
11388794.txt,0,0,0,0
11389146.txt,0,0,0,0
11389594.txt,0,0,0,0
11390032.txt,0,0,1,0
11393978.txt,0,0,0,0
11396993.txt,0,0,1,0
11397793.txt,0,0,0,0
11398982.txt,0,0,0,0
11399772.txt,0,0,0,0
11400069.txt,0,0,0,0
11401980.txt,0,0,0,0
11401991.txt,0,0,1,0
11404722.txt,0,0,0,0
11407666.txt,0,0,1,0
11411851.txt,0,0,0,0
11418094.txt,0,0,1,0
11418697.txt,1,0,1,0
11419939.txt,0,0,0,0
11421874.txt,0,0,1,0
11435471.txt,0,0,1,0
11436474.txt,0,0,0,0
11441064.txt,0,0,1,0
11441071.txt,0,0,1,0
11442484.txt,0,0,0,0
11442838.txt,0,0,0,0
11443098.txt,0,0,0,0
11443555.txt,0,0,1,0
11444386.txt,0,0,0,0
11444877.txt,1,0,0,0
11445447.txt,0,0,1,0
11447274.txt,0,0,0,0
114489.txt,0,0,1,0
11449543.txt,0,0,0,0
11450111.txt,0,0,0,0
1145131.txt,0,0,0,0
11452867.txt,0,0,0,0
11453697.txt,0,0,0,0
11454056.txt,0,0,1,0
11456482.txt,0,0,0,0
11460309.txt,0,0,1,0
11465053.txt,0,0,0,0
11466338.txt,0,0,1,0
11466360.txt,0,0,1,0
11467224.txt,0,0,0,0
11468405.txt,0,0,0,1
11470920.txt,0,0,1,0
11472417.txt,0,0,1,0
11474584.txt,0,0,0,0
11478430.txt,0,0,0,0
11478675.txt,0,0,1,0
11482303.txt,0,0,1,0
11482821.txt,0,0,1,0
11483365.txt,0,0,0,0
11483855.txt,1,0,1,0
11485744.txt,1,0,0,0
11486024.txt,1,0,1,0
11487472.txt,0,0,0,0
11487501.txt,1,0,0,0
11488662.txt,0,0,0,0
11491283.txt,0,0,0,1
11493349.txt,0,0,0,0
11493434.txt,1,0,1,0
11495722.txt,1,0,1,0
11497086.txt,0,0,0,1
11497462.txt,0,0,0,0
11500425.txt,0,0,0,0
11500432.txt,0,0,1,0
11502490.txt,0,0,0,0
11505380.txt,0,0,0,0
11507047.txt,0,0,1,0
11507918.txt,0,0,1,0
11509650.txt,0,0,1,0
11511101.txt,0,0,1,0
11511548.txt,0,0,0,0
11513550.txt,0,0,1,0
11513895.txt,0,0,0,0
11513971.txt,1,0,0,0
11521276.txt,0,0,0,0
11523894.txt,0,0,0,0
11524010.txt,0,0,0,0
11524864.txt,0,0,0,0
11525435.txt,0,0,1,0
11526127.txt,0,0,0,0
11526318.txt,0,0,0,1
11526325.txt,0,0,0,0
11526331.txt,0,0,0,0
11531949.txt,1,0,1,0
11533710.txt,0,0,1,0
11534830.txt,0,0,0,0
11535838.txt,0,0,1,0
11535962.txt,0,0,1,0
11536176.txt,1,0,1,0
11536596.txt,0,0,0,0
11537268.txt,0,0,0,0
11538336.txt,0,0,1,0
11539668.txt,0,0,0,0
11540842.txt,0,0,0,1
11541241.txt,0,0,0,0
11551222.txt,1,0,1,0
11551321.txt,0,0,1,0
11553537.txt,0,0,0,0
11555199.txt,0,0,0,0
11558297.txt,0,0,0,0
11560481.txt,1,0,0,0
11561961.txt,0,0,0,0
11562897.txt,0,0,0,0
11564804.txt,1,0,0,0
11570186.txt,0,0,0,0
11571196.txt,0,0,0,0
11574072.txt,1,0,0,0
11577950.txt,0,0,0,0
11580296.txt,0,0,0,0
11580851.txt,0,0,0,0
11581468.txt,0,0,0,0
11585900.txt,1,0,1,0
11585918.txt,1,0,0,0
11587641.txt,1,0,0,0
11590022.txt,0,0,0,0
115904.txt,0,0,0,0
11595241.txt,0,0,0,0
11595728.txt,0,0,1,0
11601273.txt,0,0,0,0
116113.txt,0,0,1,0
11622215.txt,0,0,0,0
11624974.txt,0,0,0,0
11627653.txt,0,0,0,0
11629072.txt,0,0,0,0
11630178.txt,0,0,0,0
11642460.txt,0,0,0,0
116681.txt,0,0,0,0
11676541.txt,0,0,0,0
11678911.txt,0,0,1,0
11679347.txt,0,0,0,1
11679712.txt,0,0,0,0
11679748.txt,0,0,0,0
11679755.txt,0,0,0,0
11679756.txt,0,0,0,0
11679757.txt,0,0,0,0
11679759.txt,0,0,0,0
11679760.txt,0,0,0,0
11681909.txt,0,0,0,1
1168285.txt,0,0,0,0
11683878.txt,1,0,0,0
11686501.txt,0,0,0,0
11687244.txt,1,0,1,0
11696892.txt,1,0,0,0
11698433.txt,0,0,1,0
11698645.txt,0,0,0,0
11702694.txt,0,0,0,1
11703674.txt,0,0,1,0
11705967.txt,0,0,0,0
11706043.txt,1,0,0,0
11712319.txt,0,0,0,0
11714818.txt,0,0,1,0
11716106.txt,0,0,0,0
11716527.txt,0,0,1,0
11717309.txt,1,0,1,0
11717516.txt,0,0,0,0
11720544.txt,0,0,0,0
11724365.txt,0,0,1,0
11725828.txt,0,0,1,0
11726964.txt,0,0,1,0
11729222.txt,0,0,0,0
11731034.txt,0,0,1,0
11731175.txt,0,0,0,0
11731799.txt,1,0,1,0
11733579.txt,0,0,1,0
11734198.txt,1,0,0,0
11737210.txt,0,0,0,0
11737639.txt,1,0,1,0
11738827.txt,0,0,0,0
11739497.txt,0,0,1,1
11739499.txt,1,0,1,0
11739756.txt,0,0,0,0
11741948.txt,0,0,0,0
11742117.txt,0,0,0,0
11746276.txt,0,0,1,0
11747443.txt,0,0,0,0
11748193.txt,1,0,0,0
11748281.txt,0,0,1,0
11751011.txt,0,0,1,0
11751815.txt,1,0,0,0
11752789.txt,0,0,0,0
11752797.txt,0,0,0,0
11753375.txt,1,0,0,0
11755183.txt,0,0,0,0
11755986.txt,0,0,0,0
11758902.txt,0,0,0,0
11761364.txt,0,0,0,0
11764194.txt,0,0,0,0
1176433.txt,0,0,1,0
11764893.txt,0,0,0,0
11767607.txt,0,0,0,0
11771960.txt,0,0,0,0
11772022.txt,0,0,0,0
11772513.txt,0,0,1,1
11772523.txt,0,0,1,0
11772628.txt,0,0,0,0
11772637.txt,0,0,0,0
11776399.txt,0,0,1,0
11777966.txt,1,0,1,1
11779640.txt,0,0,0,1
11779688.txt,0,0,0,0
11781072.txt,0,0,1,0
11782521.txt,0,0,0,0
11784715.txt,1,0,1,0
11790106.txt,0,0,0,0
11791851.txt,0,0,1,0
11795863.txt,0,0,0,0
11798467.txt,0,0,1,0
11801688.txt,0,0,1,0
11811640.txt,0,0,1,0
11814298.txt,0,0,0,0
11815.txt,0,0,0,0
118165.txt,0,0,0,0
11822.txt,0,0,0,0
11822870.txt,0,0,1,0
11823199.txt,0,0,0,0
11826906.txt,0,0,0,0
11827277.txt,0,0,0,0
11830981.txt,0,0,0,0
11836344.txt,0,0,0,0
11837710.txt,0,0,1,0
11839374.txt,0,0,0,0
11841056.txt,0,0,0,0
11842104.txt,1,0,0,0
11843959.txt,0,0,0,0
11849038.txt,0,0,0,0
11853629.txt,0,0,0,0
11854176.txt,0,0,0,0
11854210.txt,0,0,1,0
11857340.txt,0,0,0,0
11859120.txt,0,0,0,0
11861375.txt,0,0,0,0
11861617.txt,1,0,1,0
11877290.txt,0,0,1,1
11877291.txt,0,0,1,0
11879819.txt,0,0,1,0
11880205.txt,0,0,1,0
11882900.txt,0,0,0,0
11884760.txt,1,0,1,0
11885270.txt,0,0,0,0
11885352.txt,0,0,0,0
11885363.txt,0,0,0,0
11888296.txt,0,0,0,0
11889043.txt,1,0,0,0
11890612.txt,0,0,1,0
11891260.txt,0,0,0,0
11895397.txt,0,0,0,0
11897074.txt,0,0,0,0
118998.txt,0,0,1,0
11900558.txt,0,0,0,0
11901320.txt,0,0,0,0
11902338.txt,0,0,1,0
11905111.txt,0,0,0,0
11907094.txt,0,0,0,0
11907104.txt,0,0,1,0
11907111.txt,1,0,1,0
11908941.txt,0,0,1,0
11914503.txt,0,0,0,1
11918712.txt,0,0,1,0
11920590.txt,0,0,1,0
11924796.txt,0,0,0,0
11925929.txt,0,0,1,0
11927587.txt,0,0,0,0
11927985.txt,0,0,0,0
11928460.txt,0,0,0,0
11931390.txt,0,0,0,0
11934873.txt,0,0,1,0
1193716.txt,0,0,1,0
11943354.txt,0,0,0,0
11944026.txt,0,0,0,0
11953358.txt,0,0,0,0
11955070.txt,1,0,0,0
11955780.txt,0,0,0,0
11958675.txt,0,0,0,0
11959147.txt,0,0,1,0
11959866.txt,0,0,0,0
11971006.txt,1,0,0,0
11976484.txt,0,0,0,0
11977596.txt,0,0,0,0
11980484.txt,0,0,0,0
11980961.txt,0,0,0,0
11984937.txt,0,0,0,0
11985703.txt,0,0,0,0
11986256.txt,0,0,1,1
11986289.txt,0,0,1,1
11989885.txt,0,0,0,0
11990371.txt,0,0,0,0
11990527.txt,0,0,0,0
11998312.txt,0,0,0,0
12000986.txt,0,0,0,0
12007866.txt,0,0,0,0
12011031.txt,1,0,1,0
1201267.txt,0,0,0,0
12015947.txt,0,0,0,0
12017931.txt,0,0,0,0
12021306.txt,0,0,1,0
12028561.txt,0,0,1,0
1203000.txt,0,0,1,1
12031081.txt,0,0,1,0
12032290.txt,0,0,0,0
12037303.txt,0,0,0,0
12039907.txt,1,0,1,0
1204238.txt,0,0,1,0
12042809.txt,0,0,1,0
1204775.txt,0,0,0,0
12047751.txt,0,0,1,0
12051749.txt,0,0,1,0
12051924.txt,0,0,0,0
12054465.txt,0,0,0,0
12055251.txt,0,0,1,0
12060653.txt,1,0,0,0
1206144.txt,0,0,0,0
120640.txt,0,0,1,0
12065502.txt,0,0,0,0
12067345.txt,0,0,0,0
12067384.txt,0,0,0,0
12067632.txt,0,0,1,0
12067732.txt,0,0,0,0
12071677.txt,0,0,0,0
12071705.txt,1,0,1,0
12071760.txt,0,0,0,0
12077273.txt,0,0,1,0
12077455.txt,0,0,0,0
12080185.txt,0,0,0,0
12080425.txt,0,0,0,0
12086360.txt,0,0,1,0
12089027.txt,0,0,0,0
12092141.txt,0,0,0,0
12093274.txt,0,0,0,0
12093742.txt,1,0,0,0
12093871.txt,0,0,1,0
12096783.txt,0,0,1,0
12102091.txt,0,0,0,0
121031.txt,0,0,0,0
12108950.txt,0,0,1,0
12109877.txt,0,0,0,0
12111121.txt,0,0,1,0
12115619.txt,1,0,1,0
12130663.txt,1,0,0,0
12132786.txt,0,0,0,0
12134669.txt,0,0,0,0
12135599.txt,0,0,1,0
12135853.txt,0,0,0,0
12139474.txt,0,0,0,0
12140334.txt,0,0,0,0
12143181.txt,0,0,0,0
12144286.txt,0,0,0,0
12145722.txt,0,0,0,0
12146174.txt,0,0,0,0
12147624.txt,0,0,1,0
12151239.txt,0,0,0,0
12153713.txt,0,0,0,0
12153715.txt,0,0,1,0
12154067.txt,1,0,1,0
12165316.txt,0,0,1,0
12165548.txt,0,0,1,0
12167240.txt,0,0,1,0
12175227.txt,0,0,0,0
12180916.txt,0,0,0,0
12183621.txt,0,0,0,1
